UID,ALUMINUM_UNITS,COND_UNITS,DOC_UNITS,NITRATE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PTL_UNITS,SILICA_UNITS,AMMONIA_N_RESULT,COND_RESULT,DOC_RESULT,NITRATE_N_RESULT,NITRITE_N_RESULT,NTL_RESULT,PH_RESULT,PTL_RESULT,SILICA_RESULT
8324,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.02,62.2,4.91,0.04,,0.85,8.6,35,0.914
8325,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,246,9.66,0.002,0,1.079,9.42,114,7.243
8326,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,264,8.55,1.5,0,2.396,8.21,697,18.353
8327,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,427,5.72,0,0,1.133,9.22,68,5.799
8328,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.026,3830,31.4,0,0,4.175,8.87,390,0.024
8329,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0053,18.08,2.07,0.002,0.001,0.159,7.25,10,0.188
8330,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.011,1071,7.57,0.002,0,1.199,8.3,86,19.727
8333,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0397,455,4.57,0.005,,0.319,7.38,39.7,7.75
8334,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,93.4,1.58,0.002,0,0.265,8.78,120,19.109
8341,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.012,269,5.01,0.002,0,0.853,8.72,84,15.586
8342,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.018,87.8,10.09,0.003,0,1.713,8.86,116,17.085
8358,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.1,379,9.38,0.05,,2.19,7.72,142,12
8360,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0051,15.95,3.05,0.003,0,0.22,7.13,19,1.403
8363,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.01,27.6,4.5,0.05,,0.3,7.4,9,1.7
8385,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.023,2560,6.42,0,0,0.604,8.53,65,7.716
8387,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.025,464,6.32,0.004,0,1.215,8.14,155,0.295
8390,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.015,776,3.04,0.007,0,0.31,8.36,31,4.069
8391,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.016,383,5.73,0.002,0,0.444,8.19,50,18.363
8393,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.44,648,16.7,0.05,,6.94,7.42,2150,16.8
8394,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.0095,177.6,5.29,0.002,0,1.016,9.24,116,11.075
8395,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,78.6,6.39,0.004,0,0.424,8.06,37,10.566
8396,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.054,205,9.3,0.003,0,0.941,8.14,49,16.947
8397,mg/L,uS/cm @ 25C,mg/L,mg N/L,mg N/L,mg/L,ug/L,mg/L,0.017,343,12.01,0.002,0,1.401,8.68,40,4.78
8398,,uS/cm @ 25C,mg/L,mg N/L,,mg/L,ug/L,mg/L,0.0024,18,4.09,0.005,,0.175,6.23,8.3,5.1
