TSN,,Genus,,Species,,Variety
81,,Aeromonas,,salmonicida,,
820,,Holopedium,,obvolutum,,
821,,Gloeochaete,,,,
822,,Gloeochaete,,wittrockiana,,
823,,Entophysalidaceae,,,,
824,,Chlorogloea,,,,
825,,Chlorogloea,,conferta,,
826,,Chlorogloea,,tuberculosa,,
827,,Entophysalis,,,,
828,,Entophysalis,,conferta,,
829,,Entophysalis,,deusta,,
830,,Entophysalis,,rivularis,,
831,,Entophysalis,,lemaniae,,
832,,Entophysalis,,granulosa,,
833,,Radiocystis,,,,
834,,Radiocystis,,geminata,,
835,,Chlorogloeopsis,,,,
836,,Chlorogloeopsis,,fritschii,,
838,,Chamaesiphonales,,,,
839,,Dermocarpaceae,,,,
83,,Spirillaceae,,,,
840,,Dermocarpa,,,,
841,,Dermocarpa,,prasina,,
842,,Dermocarpa,,violacea,,
843,,Dermocarpa,,rostrata,,
844,,Stichosiphon,,,,
845,,Stichosiphon,,regularis,,
846,,Chamaesiphonaceae,,,,
847,,Chamaesiphon,,,,
848,,Chamaesiphon,,marinus,,
849,,Chamaesiphon,,confervicola,,
84,,Vibrio,,,,
850,,Chamaesiphon,,fuscus,,
