SITE_ID,EPA_REG,ECO_LEV_3,NUT_REG,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,HUC_2,HUC_8
NLA06608-3096,Region_6,33,IX,IX,MAN-MADE,PLNLOW MAN-MADE,12,12030105
NLA06608-3121,Region_10,11,II,II,MAN-MADE,WMTNS MAN-MADE,17,17050124
NLA06608-3147,Region_5,56,VII,VII,NATURAL,PLNLOW NATURAL,5,5120106
NLA06608-3153,Region_10,2,II,II,NATURAL,WMTNS NATURAL,17,17110003
NLA06608-3157,Region_10,16,II,II,MAN-MADE,WMTNS MAN-MADE,17,17050112
NLA06608-3160,Region_7,47,VI,VI,MAN-MADE,PLNLOW MAN-MADE,10,10200203
NLA06608-3169,Region_4,76,XIII,CPL,NATURAL,PLNLOW NATURAL,3,3090101
NLA06608-3228,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,12,12060102
NLA06608-3265,Region_10,15,II,II,NATURAL,WMTNS NATURAL,17,17010308
NLA06608-3303,Region_6,32,V,V,MAN-MADE,PLNLOW MAN-MADE,12,12100301
NLA06608-3313,Region_10,13,III,III,MAN-MADE,WMTNS MAN-MADE,16,16010202
NLA06608-3320,Region_6,37,IX,IX,MAN-MADE,EHIGH MAN-MADE,11,11110105
NLA06608-3329,Region_10,15,II,II,NATURAL,WMTNS NATURAL,17,17010215
NLA06608-3480,Region_6,29,IX,IX,MAN-MADE,PLNLOW MAN-MADE,11,11130303
NLA06608-3484,Region_7,44,IV,IVnat,NATURAL,PLNLOW NATURAL,10,10150004
NLA06608-3608,Region_7,47,VI,VI,MAN-MADE,PLNLOW MAN-MADE,10,10220003
NLA06608-3616,Region_6,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,11,11090201
NLA06608-3644,Region_7,44,IV,IVnat,NATURAL,PLNLOW NATURAL,10,10180009
NLA06608-3656,Region_7,44,IV,IVnat,NATURAL,PLNLOW NATURAL,10,10220001
NLA06608-3660,Region_7,27,V,V,MAN-MADE,PLNLOW MAN-MADE,10,10270202
NLA06608-3698,Region_1,59,XIV,CPL,MAN-MADE,EHIGH MAN-MADE,1,1090003
NLA06608-3846,Region_1,59,XIV,CPL,NATURAL,EHIGH NATURAL,1,1090005
NLA06608-3890,Region_1,59,XIV,CPL,NATURAL,EHIGH NATURAL,1,1100001
NLA06608-3911,Region_6,34,X,CPL,MAN-MADE,PLNLOW MAN-MADE,8,8080201
NLA06608-4056,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11100301
NLA06608-4064,Region_6,26,IV,IVman,MAN-MADE,PLNLOW MAN-MADE,11,11040002
NLA06608-4206,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11050002
NLA06608-4252,Region_1,58,VIII,VIII,NATURAL,EHIGH NATURAL,2,2010002
NLA06608-4320,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11060001
NLA06608-4382,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11130303
NLA06608-4413,Region_1,59,XIV,CPL,MAN-MADE,EHIGH MAN-MADE,1,1100001
NLA06608-4414,Region_6,37,IX,IX,MAN-MADE,EHIGH MAN-MADE,11,11110105
NLA06608-4440,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11060001
NLA06608-4472,Region_6,27,V,V,MAN-MADE,PLNLOW MAN-MADE,11,11100301
