TSN,,Genus,,Species,,Variety
44145,,Ammodiscus,,arenaceus,,
44146,,Ammodiscus,,gullmarensis,,
44147,,Ammodiscus,,catinus,,
44148,,Ammodiscus,,incertus,,
44149,,Ammodiscus,,anguillae,,
44150,,Ammodiscus,,minimus,,
44151,,Glomospira,,,,
44152,,Glomospira,,gordialis,,
44153,,Glomospira,,charoides,,
44154,,Glomospira,,glomerata,,
44155,,Tolypammininae,,,,
44156,,Ammolagena,,,,
44157,,Ammolagena,,clavata,,
44158,,Tolypammina,,,,
44159,,Tolypammina,,vagans,,
44160,,Lituotuba,,,,
44161,,Lituotuba,,lituiformis,,
44162,,Lituolacea,,,,
44163,,Oxinoxisidae,,,,
44164,,Hormosinidae,,,,
44165,,Aschemocellinae,,,,
44166,,Aschemonellinae,,,,
44167,,Aschemonella,,,,
44168,,Aschemonella,,catenata,,
44169,,Aschemonella,,ramuliformis,,
44170,,Reophacinae,,,,
44171,,Hormosininae,,,,
44172,,Reophax,,,,
44173,,Reophax,,insectus,,
44174,,Reophax,,scorpiurus,,
44175,,Reophax,,agglutinatus,,
44176,,Reophax,,articus,,
44177,,Reophax,,dentaliniformis,,
44178,,Reophax,,guttifer,,
44179,,Reophax,,scotti,,
44180,,Reophax,,subfusiformis,,
44181,,Reophax,,nana,,
44182,,Reophax,,fusiformis,,
44183,,Reophax,,aduncus,,
44184,,Reophax,,arayaensis,,
44185,,Reophax,,bacillaris,,
44186,,Reophax,,compressus,,
44187,,Reophax,,comprimus,,
44188,,Reophax,,curtus,,
44189,,Reophax,,cylindricus,,
44190,,Reophax,,delicatula,,
44191,,Reophax,,distans,,
44192,,Reophax,,hispidulus,,
44193,,Reophax,,mariae,,
44194,,Reophax,,nodulosus,,
44195,,Reophax,,spiculifer,,
44196,,Reophax,,trilateralis,,
44197,,Reophax,,bilocularis,,
44198,,Hormosina,,,,
44199,,Hormosina,,globulifera,,
44200,,Hormosina,,monile,,
44201,,Hormosina,,normani,,
44202,,Hormosina,,ovaliformis,,
44203,,Hormosina,,ovicula,,
44204,,Hormosina,,ovicula,,ovicula
44205,,Hormosina,,ovicula,,mexicana
44206,,Cribratininae,,,,
44207,,Nouriidae,,,,
44208,,Nouria,,,,
44209,,Nouria,,harrisi,,
