"SITEID_12","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol"
"NLA12_VA-106","NLA06608-0221",37.30188244,-76.82107103,18.43287407,2.3,3.745423426,2.67,2,2080206,65,65,"Region_3",125.7,9000,731,64,11105,7.98,27.9423076923077,6.05562091503268
"NLA12_VA-108","NLA06608-0153",37.2141479,-78.62552714,34.27812829,3.5,4.183526661,133.82,2,2080207,45,45,"Region_3",90.1,2430,271,61,20876,7.9,24.2076923076923,5.79692810457516
"NLA12_VA-109","",37.35262917,-79.92640549,2.533847868,1.55,0.801162281,332,3,3010101,67,67,"Region_3",253,3135,563,60,15398,8.86,26.298717948718,5.72928104575163
"NLA12_VA-110","",38.6132069,-77.35177584,39.68937543,12,7.076774303,57.95,2,2070011,45,45,"Region_3",120.3,6510,379,19,8799,7.74,19.8179487179487,5.88921568627451
"NLA12_VA-111","",37.20263314,-77.35292656,5.740434759,3.8,1.767654888,39.32,3,3010202,65,65,"Region_3",58.6,9340,561,114,4514,7.22,23.1358974358974,5.82424836601307
"NLA12_VA-112","",36.70331908,-76.61370171,4.02019284,1.9,0.824939315,7.18,2,2080208,63,63,"Region_3",142.8,5610,356,24,2181,7.5,28.3782051282051,5.78228758169935
"NLA12_VA-114","",37.97534621,-78.42805404,1.104430042,3.9,0.499270455,115.74,2,2080204,45,45,"Region_3",45.1,4530,371,35,2269,7.23,19.9115384615385,5.79692810457516
"NLA12_VA-116","",36.93851006,-79.92845969,1.962824918,4.5,0.650204279,336.17,3,3010101,45,45,"Region_3",31.6,1830,184,37,11368,7.35,16.0487179487179,5.89274509803922
"NLA12_VA-118","",38.66358751,-77.66841941,2.041132937,1.6,0.564670295,78.15,2,2070010,64,64,"Region_3",128.9,12180,3081,426,18866,10.37,30.8179487179487,5.88921568627451
"NLA12_VA-119","",37.29642181,-76.61317204,44.46178251,2.5,9.164517495,0.29,2,2080107,65,65,"Region_3",181.9,5570,1555,124,10485,9.84,30.3346153846154,6.05562091503268
"NLA12_VA-121","",37.75190637,-76.93373313,14.76008082,4.5,3.938324379,20.17,2,2080105,65,65,"Region_3",120.4,5990,803,96,6250,7.47,29.2192307692308,6.05562091503268
"NLA12_VA-123","",36.91780892,-76.15174455,4.154942314,1.4,1.340288122,0.75,2,2080108,63,63,"Region_3",625,10840,2005,112,3754,8.28,27.5538461538462,5.78228758169935
"NLA12_VA-125","",36.67434057,-80.39017008,50.48571575,35,9.6901224,769.75,3,3010103,66,66,"Region_3",41.3,1500,490,27,6521,7.67,16.5692307692308,2.49411764705882
"NLA12_VA-126","",38.55750724,-78.96983242,3.751079578,4.1,0.879560682,478.99,2,2070006,67,67,"Region_3",122.2,4040,550,40,4714,7.85,21.00125,5.71934640522876
"NLA12_VA-127","NLA06608-0301",37.15479457,-77.52050059,35.26673368,2.2,3.543631027,45.37,3,3010201,65,65,"Region_3",68.7,7570,815,81,20461,7.66,28.3102564102564,5.82424836601307
"NLA12_VA-130","",37.99359532,-78.17761298,12.71176678,4.1,2.303701497,113.14,2,2080106,45,45,"Region_3",107.7,5260,448,61,11859,7.06,22.6846153846154,5.79692810457516
"NLA12_VA-R05","NLA06608-R324",37.35866948,-76.84210284,360.8496048,16,53.12311166,18.13,2,2080206,65,65,"Region_3",126.4,4130,353,12,2857,7.76,20.7807692307692,6.05562091503268
"NLA12_VA-R06","NLA06608-R333",37.313394,-76.708333,129.6503976,9.2,6.09187,8.76,2,2080107,65,65,"Region_3",302,3180,298,15,3871,8.72,22.1910256410256,6.05562091503268
"NLA12_VT-101","NLA06608-0982",44.44652025,-71.81189261,82.15968773,16.5,5.076463215,312.89,1,1080103,58,58,"Region_1",54.25,5440,268.5,16,4385.5,7.66,14.6976923076923,5.31496732026144
